brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Fiat,Punto,2012,4,1.4,Gasoline,Manual,5.95,129
Fiat,Punto,2012,4,1.4,Gasoline,Manual,5.95,
Fiat,Marea,2001,4,1.9,Diesel,Manual,6,
Fiat,Punto,2003,4,1.9,Diesel,Manual,6,
Fiat,Punto,2010,4,1.9,diesel,Manual,6,
Fiat,Stilo,2010,4,1.9,Diesel,Manual,6,
Fiat,Punto,2009,4,1.9,Diesel,Manual,6,
Fiat,Punto,2003,4,1.2,Gasoline,Manual,6.05,
Fiat,Punto,2009,4,1.2,Gasoline,Manual,6.05,
Fiat,Punto,2018,4,1.4,Gasoline,Manual,6.05,133
Fiat,Punto,2018,4,1.4,Gasoline,Manual,6.05,132
Fiat,Punto,2020,4,1.4,Gasoline,Manual,6.05,
Fiat,Stilo,2010,4,1.9,Diesel,Manual,6.05,
Fiat,Punto,2012,4,1.4,Gasoline,Manual,6.1,
Fiat,Marea,2001,4,1.9,Diesel,Manual,6.1,
Fiat,Punto,2010,4,1.9,diesel,Manual,6.1,
Fiat,Stilo,2010,4,1.9,Diesel,Manual,6.1,
Fiat,Doblo,2005,4,1.9,Diesel,Manual,6.15,
Fiat,Palio,2004,4,1.9,Diesel,Manual,6.15,
Fiat,Tipo,1995,4,1.9,Diesel,Automatic,6.15,
Fiat,Palio,2020,4,1,Gasoline,Manual,6.2,
Fiat,Uno,1995,4,1.1,Gasoline,Manual,6.2,
Fiat,Uno,1994,4,1.1,Gasoline,Manual,6.2,
Fiat,Punto,2009,4,1.2,Gasoline,Manual,6.2,
Fiat,Stilo,2010,4,1.9,Diesel,Manual,6.2,
Fiat,Doblo,2020,4,2,Diesel,Manual,6.2,
Fiat,Palio,2020,4,1.4,Gasoline,Manual,6.25,
Fiat,Punto,2010,4,1.9,diesel,Manual,6.25,
Fiat,Tipo,1995,4,1.1,Gasoline,Manual,6.3,
Fiat,500,2020,4,1.4,Gasoline,Manual,6.4,
Fiat,Punto,2009,4,1.4,Gasoline,Manual,6.45,
Fiat,Punto,2012,4,1.4,Gasoline,Manual,6.45,
Fiat,Punto,2010,4,1.4,Gasoline,Manual,6.45,
Fiat,Punto,2012,4,1.4,Gasoline,Manual,6.45,
Fiat,Palio,2020,4,1.9,Diesel,Manual,6.45,
Fiat,Seicento,2004,4,0.9,Gasoline,Manual,6.5,
Fiat,500X,2020,3,1,Gasoline,Manual,6.5,139
Fiat,Palio,2004,4,1,Gasoline,Manual,6.5,
Fiat,600,2010,4,1.1,Gasoline,Manual,6.5,
Fiat,Seicento,2004,4,1.1,Gasoline,Manual,6.5,
Fiat,Seicento,2010,4,1.1,Gasoline,Manual,6.5,
Fiat,Punto,2010,4,1.2,Gasoline,Manual,6.5,
Fiat,Punto,2012,4,1.2,Gasoline,Manual,6.5,
Fiat,Idea,2020,4,1.4,Gasoline,Automatic,6.5,
Fiat,Idea,2020,4,1.4,Gasoline,Manual,6.5,
Fiat,Punto,2010,4,1.4,Gasoline,Manual,6.5,
Fiat,Palio,2004,4,1.5,Gasoline,Manual,6.5,
Fiat,Palio,2004,4,1.7,Diesel,Manual,6.5,
Fiat,Palio,2020,4,1.7,Diesel,Manual,6.5,
Fiat,Bravo,2001,4,1.9,Diesel,Manual,6.5,
Fiat,Sedici,2012,4,1.6,Gasoline,Manual,6.55,
Fiat,Albea,2012,4,1.2,Gasoline,Manual,6.6,
Fiat,Punto,1999,4,1.2,Gasoline,Automatic,6.6,
Fiat,Stilo,2010,4,1.2,Gasoline,Manual,6.6,
Fiat,Albea,2012,4,1.4,Gasoline,Manual,6.6,
Fiat,500X,2020,4,1.3,Gasoline,Automatic,6.65,146
Fiat,500L,2020,4,1.4,Gasoline,Manual,6.65,
Fiat,500L,2020,4,1.4,Gasoline,Manual,6.65,
Fiat,Punto,1999,4,1.7,Diesel,Manual,6.65,
Fiat,500X,2020,4,2,diesel,Automatic,6.65,168
Fiat,500,2015,4,1.4,Gasoline,Manual,6.7,
Fiat,Multipla,2004,4,1.9,Diesel,Manual,6.75,
Fiat,Multipla,2010,4,1.9,Diesel,Manual,6.75,
Fiat,Bravo,2001,4,1.9,Diesel,Manual,6.8,
Fiat,Marea,2001,4,1.9,Diesel,Manual,6.8,
Fiat,Freemont,2020,4,2,Diesel,Manual,6.8,
Fiat,Palio,2004,4,1,Gasoline,Manual,6.85,
Fiat,Panda,2011,4,1.2,Gasoline,Manual,6.85,
Fiat,Stilo,2010,4,1.4,Gasoline,Manual,6.85,
Fiat,Palio,2004,4,1.7,Diesel,Manual,6.85,
Fiat,Palio,2003,4,1.7,Diesel,Manual,6.85,
Fiat,Idea,2020,4,1.2,Gasoline,Manual,6.9,
Fiat,Stilo,2010,4,1.2,Gasoline,Manual,6.9,
Fiat,Idea,2020,4,1.2,Gasoline,Automatic,6.9,
Fiat,Multipla,2010,4,1.9,Diesel,Manual,6.9,
Fiat,Punto,1999,4,1.1,Gasoline,Manual,6.95,
Fiat,Punto,2003,4,1.2,Gasoline,Automatic,6.95,
Fiat,Punto,2009,4,1.2,Gasoline,Automatic,6.95,
Fiat,Uno,1995,4,1.5,Gasoline,Manual,6.95,
Fiat,Palio,2004,4,1.9,Diesel,Manual,6.95,
Fiat,Palio,2004,4,1.2,Gasoline,Manual,7,
Fiat,Tempra,1996,4,1.4,Gasoline,Manual,7,
Fiat,Tempra,1996,4,1.6,Gasoline,Manual,7,
Fiat,Sedici,2009,4,1.6,Gasoline,Manual,7,
Fiat,Punto,1999,4,1.7,Diesel,Manual,7,
Fiat,Marea,2001,4,1.9,Diesel,Manual,7,
Fiat,Ulysse,2010,4,2,Diesel,Manual,7,
Fiat,Punto,2010,4,1.4,Gasoline,Manual,7.05,
Fiat,Marea,2001,4,1.9,Diesel,Manual,7.05,
Fiat,500L,2019,4,1.4,Gasoline,Manual,7.1,155
Fiat,Stilo,2010,4,1.4,Gasoline,Manual,7.1,
Fiat,Tipo,1995,4,1.4,Gasoline,Manual,7.1,
Fiat,Palio,2004,4,1.5,Gasoline,Manual,7.1,
Fiat,Palio,2003,4,1.5,Gasoline,Manual,7.1,
Fiat,Bravo,2011,4,1.4,Gasoline,Manual,7.15,
Fiat,Tipo,1995,4,1.4,Gasoline,Manual,7.15,
Fiat,Marea,2001,5,2.4,Diesel,Manual,7.15,
Fiat,Linea,2012,4,1.4,Gasoline,Manual,7.2,
Fiat,500X,2020,4,1.6,Gasoline,Manual,7.2,159
Fiat,Palio,2004,4,1.2,Gasoline,Manual,7.25,
Fiat,Palio,2003,4,1.2,Gasoline,Manual,7.25,
Fiat,Punto,1999,4,1.2,Gasoline,Manual,7.25,
Fiat,Stilo,2010,4,1.4,Gasoline,Manual,7.25,
Fiat,Marea,2001,4,1.9,Diesel,Manual,7.25,
Fiat,Marea,2001,5,2.4,Diesel,Manual,7.25,
Fiat,Palio,2004,4,1.2,Gasoline,Manual,7.3,
Fiat,Palio,2003,4,1.2,Gasoline,Manual,7.3,
Fiat,Marea,2001,4,1.4,Gasoline,Manual,7.3,
Fiat,Bravo,2001,4,1.2,Gasoline,Manual,7.35,
Fiat,Fiorino,2010,4,1.4,Gasoline,Automatic,7.35,
Fiat,Fiorino,2010,4,1.4,Gasoline,Manual,7.35,
Fiat,Croma,1996,4,2,Gasoline,Manual,7.35,
Fiat,Brava,2001,4,1.2,Gasoline,Manual,7.45,
Fiat,Fiorino,2010,4,1.4,Gasoline,Automatic,7.45,
Fiat,Fiorino,2010,4,1.4,Gasoline,Manual,7.45,
Fiat,500L,2019,4,1.4,Gasoline,Manual,7.45,164
Fiat,Punto,2010,4,1.4,Gasoline,Manual,7.45,
Fiat,Marea,2001,4,1.4,Gasoline,Manual,7.45,
Fiat,Uno,1995,4,1.4,Gasoline,Manual,7.5,
Fiat,Uno,1994,4,1.4,Gasoline,Manual,7.5,
Fiat,Scudo,2016,4,1.6,Diesel,Manual,7.5,
Fiat,Sedici,2012,4,1.6,Gasoline,Manual,7.5,
Fiat,Ulysse,2010,4,2.2,Diesel,Manual,7.5,
Fiat,Albea,2012,4,1.2,Gasoline,Manual,7.55,
Fiat,Punto,1999,4,1.2,Gasoline,Manual,7.55,
Fiat,Bravo,2011,4,1.4,Gasoline,Manual,7.55,
Fiat,Doblo,2015,4,1.4,Gasoline,Manual,7.6,
Fiat,Doblo,2005,4,1.9,Diesel,Manual,7.6,
Fiat,Punto,2012,4,1.2,Gasoline,Manual,7.65,
Fiat,Scudo,2016,4,2,Diesel,Manual,7.65,
Fiat,Doblo,2005,4,1.2,Gasoline,Manual,7.7,
Fiat,Doblo,2020,4,1.4,Gasoline,Manual,7.7,
Fiat,Palio,2004,4,1.2,Gasoline,Manual,7.75,
Fiat,Palio,2003,4,1.2,Gasoline,Manual,7.75,
Fiat,Doblo,2017,4,1.4,Gasoline,Manual,7.75,
Fiat,Croma,1996,4,2,Gasoline,Automatic,7.8,
Fiat,Scudo,2016,4,2,Diesel,Manual,7.8,
Fiat,Doblo,2020,4,1.4,Gasoline,Manual,7.9,
Fiat,Punto,1999,4,1.4,Gasoline,Manual,7.9,
Fiat,Uno,1995,4,1.4,Gasoline,Manual,7.9,
Fiat,Uno,1994,4,1.4,Gasoline,Manual,7.9,
Fiat,Stilo,2010,4,1.6,Gasoline,Manual,7.9,
Fiat,Doblo,2020,4,1.4,Gasoline,Manual,7.95,
Fiat,Bravo,2001,4,1.6,Gasoline,Manual,7.95,
Fiat,Palio,2004,4,1.6,Gasoline,Manual,7.95,
Fiat,Tipo,1995,4,1.6,Gasoline,Manual,8,
Fiat,Ulysse,2002,4,2.1,Diesel,Manual,8,
Fiat,Brava,2001,4,1.6,Gasoline,Manual,8.05,
Fiat,Doblo,2005,4,1.6,Gasoline,Manual,8.05,
Fiat,Punto,1999,4,1.6,Gasoline,Manual,8.05,
Fiat,Sedici,2012,4,1.6,Gasoline,Automatic,8.1,
Fiat,Doblo,2005,4,1.2,Gasoline,Manual,8.15,
Fiat,Stilo,2010,4,1.6,Gasoline,Manual,8.15,
Fiat,Palio,2004,4,1.9,Diesel,Manual,8.45,
Fiat,Palio,2003,4,1.9,Diesel,Manual,8.45,
Fiat,Palio,2020,4,1.6,Gasoline,Manual,8.5,
Fiat,Tipo,1995,4,1.8,Gasoline,Manual,8.5,
Fiat,Tipo,1995,4,1.8,Gasoline,Automatic,8.5,
Fiat,Bravo,2001,4,1.4,Gasoline,Manual,8.65,
Fiat,Stilo,2010,4,1.7,Gasoline,Manual,8.7,
Fiat,Stilo,2010,4,1.7,Gasoline,Manual,8.85,
Fiat,Bravo,2001,4,1.7,Gasoline,Manual,8.9,
Fiat,Bravo,2001,4,1.6,Gasoline,Automatic,8.95,
Fiat,Palio,2004,4,1.6,Gasoline,Manual,8.95,
Fiat,Palio,2003,4,1.6,Gasoline,Manual,8.95,
Fiat,Punto,2003,4,1.7,Gasoline,Manual,8.95,
Fiat,Punto,2009,4,1.7,Gasoline,Manual,8.95,
Fiat,Albea,2012,4,1.6,Gasoline,Manual,9,
Fiat,Stilo,2010,4,1.7,Gasoline,Manual,9,
Fiat,Tipo,1995,4,2,Gasoline,Automatic,9,
Fiat,Tipo,1995,4,2,Gasoline,Manual,9,
Fiat,Marea,2001,4,1.6,Gasoline,Automatic,9.05,
Fiat,Marea,2001,4,1.6,Gasoline,Manual,9.05,
Fiat,Brava,2001,4,1.7,Gasoline,Manual,9.05,
Fiat,Marea,2001,4,1.7,Gasoline,Automatic,9.05,
Fiat,Marea,2001,4,1.7,Gasoline,Manual,9.05,
Fiat,Multipla,2004,4,1.6,Hybrid,Manual,9.15,
Fiat,Multipla,2010,4,1.6,Gasoline,Manual,9.15,
Fiat,Barchetta,2005,4,1.7,Gasoline,Manual,9.2,
Fiat,Barchetta,2005,4,1.7,Gasoline,Manual,9.2,
Fiat,Marea,2001,4,1.7,Gasoline,Manual,9.3,
Fiat,Coupe,2000,4,1.7,Gasoline,Manual,9.35,
Fiat,Tipo,1995,4,2,Gasoline,Manual,9.5,
Fiat,Ulysse,2010,4,2,Gasoline,Manual,9.5,
Fiat,Bravo,2001,5,2,Gasoline,Manual,10.15,
Fiat,Ulysse,2002,4,2,Gasoline,Manual,10.2,
Fiat,Croma,2011,4,2.2,Gasoline,Automatic,10.4,
Fiat,Ulysse,2002,4,1.8,Gasoline,Manual,10.5,
Fiat,Bravo,2001,5,2,Gasoline,Manual,10.5,
Fiat,Ulysse,2002,4,2,Gasoline,Manual,10.5,
Fiat,Stilo,2010,5,2.4,Gasoline,Manual,10.55,
Fiat,Stilo,2010,5,2.4,Gasoline,Manual,10.6,
Fiat,Coupe,2000,5,2,Gasoline,Manual,10.65,
Fiat,Marea,2001,5,2,Gasoline,Manual,10.65,
Fiat,Marea,2001,5,2,Gasoline,Manual,10.75,
Fiat,Freemont,2020,4,2.4,Gasoline,Automatic,10.825,
Fiat,Marea,2001,5,2,Gasoline,Manual,10.85,
Fiat,Ulysse,2002,4,1.8,Gasoline,Manual,10.9,
Fiat,Coupe,2000,5,2,Gasoline,Manual,11,
Fiat,Ulysse,2002,4,2,Gasoline,Manual,11,
Fiat,Marea,2001,4,1.6,Gasoline,Automatic,11.05,
Fiat,Marea,2001,4,1.6,Gasoline,Manual,11.05,
Fiat,Ulysse,2002,4,2,Gasoline,Manual,11.4,
Fiat,Ulysse,2002,4,2,Gasoline,Manual,11.95,
Fiat,Ulysse,2010,6,2.9,Gasoline,Automatic,12,
Fiat,Freemont,2020,6,3.6,Gasoline,Automatic,12.2,
Ford,Fiesta,2010,4,1.4,Diesel,Manual,1.5,
Ford,Fiesta,2010,4,1.6,Gasoline,Manual,2.35,
Ford,Escort,1995,4,1.6,Diesel,Manual,2.9,
Ford,Escort,1995,4,1.8,Diesel,Manual,3.05,
Ford,C-Max,2015,4,1.6,Diesel,Manual,4.4,
Ford,Fiesta,2013,4,1.6,Diesel,Manual,4.4,
Ford,Focus,2015,4,1.6,Diesel,Manual,4.4,
Ford,Focus,2020,4,1.6,Diesel,Manual,4.4,
Ford,Fiesta,2020,3,1,Gasoline,Manual,4.45,
Ford,Ka,2020,4,1.2,Diesel,Manual,4.45,
Ford,Escort,1995,4,1.4,Gasoline,Manual,4.45,
Ford,Escort,1995,4,1.4,Gasoline,Manual,4.45,
Ford,Fiesta,2013,4,1.4,Diesel,Manual,4.45,
Ford,Mondeo,2015,4,1.6,Diesel,Manual,4.45,
Ford,Fiesta,2020,3,1,Gasoline,Manual,4.5,
Ford,Escort,1995,4,1.4,Gasoline,Manual,4.5,
Ford,Fiesta,2007,4,1.4,Diesel,Manual,4.5,
Ford,Fiesta,2007,4,1.4,Diesel,Manual,4.5,
Ford,Fiesta,2002,4,1.6,Gasoline,Automatic,4.5,
Ford,Fiesta,2002,4,1.6,Gasoline,Manual,4.5,
Ford,Fusion,2005,4,1.4,Diesel,Manual,4.55,
Ford,Fiesta,2010,4,1.6,Diesel,Manual,4.55,
Ford,Escort,1995,4,1.6,Gasoline,Automatic,4.55,
Ford,Mondeo,2020,4,2,Diesel,Manual,4.55,
Ford,EcoSport,2020,4,1.5,Diesel,Manual,4.6,
Ford,Focus,2020,4,1.5,Diesel,Automatic,4.6,
Ford,Focus,2008,4,2,Gasoline,Automatic,8.15,
Ford,Focus,2008,4,2,Gasoline,Manual,8.15,
Ford,Fusion,2005,4,1.6,Gasoline,Automatic,8.2,
Ford,Fusion,2012,4,1.6,Gasoline,Automatic,8.2,
Ford,Ka,2008,4,1.6,Gasoline,Manual,8.2,
Ford,Sierra,1993,4,1.6,Gasoline,Manual,8.2,
Ford,Escort,2000,4,1.3,Gasoline,Manual,3.3,
Ford,Fiesta,2020,4,1.6,Diesel,Manual,3.45,
Ford,Focus,2020,4,1.5,Diesel,Manual,3.5,
Ford,Focus,2015,4,1.6,Diesel,Manual,3.5,
Ford,Focus,2020,4,1.5,Diesel,Manual,3.55,
Ford,Fiesta,2020,4,1.6,Diesel,Manual,3.6,
Ford,Escort,1995,4,1.3,Gasoline,Manual,3.7,
Ford,Focus,2020,4,1.5,Diesel,Manual,3.7,
Ford,Escort,1995,4,1.1,Gasoline,Manual,3.75,
Ford,Focus,2020,4,1.5,Diesel,Manual,3.75,
Ford,Fiesta,2020,4,1.6,Diesel,Manual,3.8,
Ford,Fiesta,2020,4,1.5,Diesel,Manual,3.85,
Ford,Focus,2020,4,1.5,Diesel,Manual,3.85,
Ford,Mondeo,2020,4,2,Gasoline,Automatic,3.9,
Ford,Tourneo,2006,4,2,Diesel,Manual,4.35,
Ford,Fiesta,2020,4,1.4,Diesel,Manual,4.4,
Ford,Galaxy,2006,4,1.9,Diesel,Automatic,8.2,
Ford,Mondeo,2003,4,2,Diesel,Automatic,8.2,
Ford,Mondeo,2015,4,2,Gasoline,Manual,8.2,
Ford,Fiesta,1996,4,1.6,Gasoline,Manual,8.25,
Ford,Kuga,2020,4,1.6,Gasoline,Automatic,8.25,
Ford,Mondeo,2000,4,1.6,Gasoline,Manual,8.25,
Ford,Sierra,1993,4,1.6,Gasoline,Manual,8.25,
Ford,Escort,2000,4,1.8,Gasoline,Manual,8.25,
Ford,Contour,2000,4,2,Gasoline,Manual,8.25,
Ford,Focus,2004,4,2,Gasoline,Automatic,8.25,
Ford,Focus,2004,4,2,Gasoline,Manual,8.25,
Ford,Focus,2010,4,2,Gasoline,Manual,8.25,
Ford,Ranger,2018,4,2.2,Diesel,Automatic,8.25,
Ford,Focus,2008,4,1.6,Gasoline,Automatic,8.3,
Ford,Escort,2000,4,1.6,Gasoline,Manual,8.3,
Ford,Focus,2007,4,1.8,Gasoline,Automatic,8.3,
Ford,Focus,2007,4,1.8,Gasoline,Manual,8.3,
Ford,C-Max,2007,4,1.8,Gasoline,Automatic,8.3,
Ford,EcoSport,2019,4,1.5,Diesel,Manual,4.65,
Ford,Focus,2008,4,1.6,Diesel,Manual,4.7,
Ford,Focus,2011,4,1.6,Diesel,Manual,4.7,
Ford,Tourneo,2006,4,2,Diesel,Manual,4.7,
Ford,C-Max,2010,4,1.6,Diesel,Manual,4.75,
Ford,Fiesta,2007,4,1.6,Diesel,Manual,4.75,
Ford,Fiesta,2020,4,1.6,Diesel,Manual,4.75,
Ford,Fusion,2005,4,1.6,Diesel,Manual,4.75,
Ford,Fusion,2012,4,1.6,Diesel,Manual,4.75,
Ford,Fiesta,2020,3,1,Gasoline,Manual,4.8,
Ford,Focus,2020,4,1,Gasoline,Manual,4.8,
Ford,Fiesta,2010,4,1.4,Diesel,Manual,4.8,
Ford,Fusion,2012,4,1.4,Diesel,Manual,4.8,
Ford,Tourneo Connect,2020,4,1.5,diesel,Manual,4.8,125
Ford,Tourneo Connect,2020,4,1.5,diesel,Manual,4.8,124
Ford,Focus,2011,4,1.6,Diesel,Manual,4.8,
Ford,Focus,2011,4,1.6,Diesel,Automatic,4.8,
Ford,Fiesta,2010,4,1.4,Diesel,Manual,4.85,
Ford,Tourneo,2006,4,2,Diesel,Manual,4.85,
Ford,Focus,2020,4,1,Gasoline,Manual,4.9,
Ford,Fiesta,2010,4,1.4,Diesel,Manual,4.9,
Ford,Fiesta,1996,4,1.8,Diesel,Manual,4.9,
Ford,Focus,2020,3,1,Gasoline,Manual,4.95,
Ford,Focus,2008,4,1.6,Diesel,Manual,4.95,
Ford,Focus,2015,3,1,Gasoline,Manual,5,
Ford,Focus,2020,3,1,Gasoline,Manual,5,
Ford,Focus,2020,3,1,Gasoline,Manual,5,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5,
Ford,Focus,2020,3,1,Gasoline,Manual,5.05,
Ford,Focus,2020,3,1,Gasoline,Manual,5.05,
Ford,C-Max,2007,4,1.6,Diesel,Manual,5.05,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5.05,
Ford,Focus,2020,3,1,Gasoline,Manual,5.1,
Ford,Tourneo Connect,2020,4,1.5,diesel,Manual,5.1,130
Ford,Focus,2008,4,1.6,Diesel,Manual,5.1,
Ford,Focus,2011,4,1.6,Diesel,Automatic,5.1,
Ford,Mondeo,2015,4,1.6,Diesel,Manual,5.1,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5.1,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5.1,
Ford,Focus,2015,4,2,Diesel,Manual,5.1,
Ford,Focus,2020,3,1,Gasoline,Manual,5.15,
Ford,C-Max,2015,4,2,Diesel,Manual,5.15,
Ford,Focus,2020,4,1,Gasoline,Automatic,5.2,
Ford,C-Max,2007,4,1.6,Diesel,Manual,5.2,
Ford,Focus,2015,3,1,Gasoline,Manual,5.25,
Ford,Tourneo Connect,2020,4,1.5,diesel,Automatic,5.3,139
Ford,Fiesta,1996,4,1,Gasoline,Manual,5.35,
Ford,Focus,2020,3,1,Gasoline,Automatic,5.35,
Ford,Mondeo,2020,3,1,Gasoline,Manual,5.35,
Ford,Fiesta,1996,4,1.1,Gasoline,Manual,5.35,
Ford,Ka,2020,4,1.2,Gasoline,Manual,5.35,
Ford,C-Max,2015,3,1,Gasoline,Manual,5.4,
Ford,EcoSport,2020,3,1,Gasoline,Manual,5.4,
Ford,Tourneo Connect,2020,4,1.5,diesel,Automatic,5.4,138
Ford,C-Max,2015,4,2,Diesel,Manual,5.4,
Ford,Escort,1995,4,1.6,Gasoline,Manual,5.45,
Ford,Fiesta,2000,4,1.8,Diesel,Manual,5.45,
Ford,Focus,2004,4,1.8,Diesel,Manual,5.45,
Ford,Focus,2004,4,1.8,Diesel,Automatic,5.45,
Ford,Fiesta,2020,4,1.2,Gasoline,Manual,5.5,
Ford,Fiesta,1996,4,1.8,Diesel,Manual,5.5,
Ford,Focus,2008,4,1.8,Diesel,Manual,5.5,
Ford,Focus,2011,4,1.8,Diesel,Manual,5.5,
Ford,Mondeo,2010,4,2,Diesel,Manual,5.5,
Ford,Mondeo,2015,4,2,Diesel,Manual,5.5,
Ford,Fiesta,1996,4,1.1,Gasoline,Automatic,5.55,
Ford,Mondeo,2015,4,2,Diesel,Manual,5.55,
Ford,Focus,2004,4,1.8,Diesel,Manual,5.6,
Ford,Focus,2004,4,1.8,Diesel,Automatic,5.6,
Ford,Focus,2007,4,1.8,Diesel,Automatic,5.6,
Ford,Focus,2007,4,1.8,Diesel,Manual,5.6,
Ford,Focus,2008,4,1.8,Diesel,Manual,5.6,
Ford,Focus,2008,4,1.8,Diesel,Automatic,5.6,
Ford,EcoSport,2019,3,1,Gasoline,Manual,5.65,
Ford,Fiesta,2002,4,1.8,Diesel,Manual,5.65,
Ford,C-Max,2007,4,1.8,Diesel,Manual,5.7,
Ford,Mondeo,2010,4,1.8,Diesel,Manual,5.7,
Ford,Tourneo Courier,2019,3,1,Gasoline,Manual,5.75,124
Ford,Fiesta,1996,4,1.1,Gasoline,Manual,5.75,
Ford,Escort,1995,4,1.8,Diesel,Manual,5.75,
Ford,Escort,1995,4,1.4,Gasoline,Manual,4.05,
Ford,EcoSport,2020,4,1.5,Diesel,Manual,4.15,
Ford,Ka,2019,4,1.5,diesel,Manual,4.15,108
Ford,Tourneo Courier,2019,4,1.6,diesel,Manual,4.15,105
Ford,Escort,1995,4,1.6,Gasoline,Manual,4.15,
Ford,Mondeo,2020,4,2,Diesel,Manual,4.15,
Ford,Tourneo Courier,2019,4,1.5,diesel,Manual,4.2,108
Ford,Focus,2020,4,2,Diesel,Manual,4.2,
Ford,Fiesta,2013,4,1.6,Diesel,Manual,4.25,
Ford,Mondeo,2020,4,2,Diesel,Manual,4.25,
Ford,Focus,2020,4,1.5,Diesel,Automatic,4.3,
Ford,Mondeo,2020,4,1.6,Diesel,Manual,4.3,
Ford,Focus,2008,4,2,Diesel,Automatic,5.75,
Ford,Focus,2008,4,2,Diesel,Manual,5.75,
Ford,Focus,2011,4,2,Diesel,Manual,5.75,
Ford,Fiesta,2010,4,1.2,Gasoline,Manual,5.8,
Ford,Fiesta,2013,4,1.2,Gasoline,Manual,5.8,
Ford,Fiesta,2013,4,1.4,Gasoline,Manual,5.8,
Ford,Focus,2020,4,1.5,Gasoline,Manual,5.8,
Ford,Focus,2011,4,1.6,Diesel,Automatic,5.8,
Ford,Focus,2004,4,1.8,Diesel,Automatic,5.8,
Ford,Focus,2004,4,1.8,Diesel,Manual,5.8,
Ford,Focus,2007,4,1.8,Diesel,Automatic,5.8,
Ford,Focus,2007,4,1.8,Diesel,Manual,5.8,
Ford,Mondeo,1996,4,1.8,Diesel,Manual,5.85,
Ford,Ka,2019,3,1.2,Gasoline,Manual,5.9,129
Ford,Focus,2020,4,1.5,Gasoline,Manual,5.9,
Ford,Edge,2018,4,2,diesel,Manual,5.9,149
Ford,Focus,2007,4,1.8,Diesel,Automatic,5.95,
Ford,Focus,2007,4,1.8,Diesel,Manual,5.95,
Ford,Fiesta,2010,4,1.4,Gasoline,Manual,6,
Ford,C-Max,2007,4,1.6,Diesel,Automatic,6,
Ford,Focus,2008,4,2,Diesel,Manual,6,
Ford,Fiesta,2010,4,1.2,Gasoline,Manual,6.05,
Ford,Fiesta,2013,4,1.2,Gasoline,Manual,6.05,
Ford,Fiesta,2020,4,1.4,Gasoline,Manual,6.05,
Ford,Fiesta,2013,4,1.4,Gasoline,Manual,6.05,
Ford,Fiesta,2010,4,1.4,Gasoline,Manual,6.05,
Ford,Mondeo,2010,4,1.8,Diesel,Manual,6.05,
Ford,Sierra,1993,4,1.8,Diesel,Manual,6.05,
Ford,S-Max,2015,4,2,Diesel,Manual,6.05,
Ford,EcoSport,2020,3,1,Gasoline,Automatic,6.1,
Ford,Focus,2008,4,2,Diesel,Automatic,6.1,
Ford,Focus,2008,4,2,Diesel,Manual,6.1,
Ford,C-Max,2007,4,1.6,Diesel,Automatic,6.15,
Ford,Focus,2004,4,1.8,Diesel,Automatic,6.15,
Ford,Mondeo,2010,4,1.8,Diesel,Manual,6.15,
Ford,Sierra,1993,4,1.8,Diesel,Manual,6.15,
Ford,Mondeo,2020,4,1.5,Gasoline,Manual,6.2,
Ford,C-Max,2007,4,2,Diesel,Manual,6.2,
Ford,C-Max,2010,4,2,Diesel,Automatic,6.2,
Ford,C-Max,2010,4,2,Diesel,Manual,6.2,
Ford,Kuga,2013,4,2,Diesel,Manual,6.2,
Ford,Mondeo,2003,4,2,Diesel,Manual,6.2,
Ford,Mondeo,2007,4,2,Diesel,Manual,6.2,
Ford,Explorer,2006,8,4.6,Gasoline,Automatic,6.2,
Ford,Focus,2020,4,1.5,Gasoline,Automatic,6.25,
Ford,Focus,2015,4,1.6,Gasoline,Manual,6.25,
Ford,Mondeo,2010,4,1.8,Diesel,Manual,6.25,
Ford,Tourneo Connect,2013,4,1.8,diesel,Manual,6.25,
Ford,Mondeo,2010,4,2,Diesel,Manual,6.25,
Ford,Focus,2015,4,2,Gasoline,Manual,6.25,
Ford,Fiesta,1996,4,1.3,Gasoline,Manual,6.3,
Ford,Fiesta,2010,4,1.3,Gasoline,Manual,6.3,
Ford,Fiesta,2013,4,1.6,Gasoline,Manual,6.3,
Ford,Focus,2008,4,2,Diesel,Manual,6.3,
Ford,Mondeo,2003,4,2,Diesel,Manual,6.3,
Ford,Fiesta,1996,4,1.3,Gasoline,Manual,6.35,
Ford,Ka,2008,4,1.3,Gasoline,Manual,6.35,
Ford,Fiesta ST,2019,3,1.5,Gasoline,Manual,6.35,136
Ford,Fiesta,2020,4,1.6,Gasoline,Manual,6.35,
Ford,Fiesta ST,2018,4,1.6,Gasoline,Manual,6.35,138
Ford,Focus,2015,4,1.6,Gasoline,Manual,6.35,
Ford,Fiesta,2020,4,1.6,Gasoline,Manual,6.35,
Ford,Fiesta ST,2018,4,1.6,Gasoline,Manual,6.35,
